MSE,RMSE,PSNR,SSIM,UQI,MSSSIM,ERGAS,SCC,RASE,SAM,VIF
17020.3876953125,130.46220791981293,-0.23362006434612406,"(0.021387930215139142, 0.039359596964643244)",0.17474389563977377,(0.11921672097257222+0.1493829808745351j),194111.766213181,0.03479789095208186,27921.857718664734,1.2824295530724321,0.025455504211688823
16813.115234375,129.66539721288405,-0.1804074765794186,"(0.006022698904727366, 0.021597064096938196)",0.04544718010989518,(0.16296625526439254+0j),1128453.6629071701,0.011584755364310556,72843.06797395165,1.4503625387435346,0.027567096134084156
19756.955729166668,140.55943842078577,-0.8811258478309412,"(0.000521422641942103, 0.001450645049676984)",0.05679508890104921,(-0.017127316655753632+0.06567758767221984j),473539.4896320924,0.0015713465627885236,-67924.15506477209,1.767024370098636,0.0008425676693327031
25134.342447916668,158.53814193409946,-1.926600860059974,"(0.0003430943952356636, 0.009170780726471319)",0.04320223266493926,(-0.010552253730356231+0.0918745248915588j),1435885.4427057712,0.000989295232756926,-49991.56600015446,1.6745123963165724,0.0012184250327616933
27879.6787109375,166.9720896166108,-2.3768032267650643,"(0.02142183410382968, -0.04855044861605695)",0.13216790697075417,(-0.14450218430465073+0.06426400356349316j),323178.6026545332,-0.014666413568880798,-45910.294469635795,1.8146974587633615,0.00034218803541190794
14671.376627604166,121.12545821421757,0.41136575940320763,"(-0.007079693897204496, -0.0307842930800508)",0.0360494634874803,(0.12217559262780155+0.0173098486702141j),1120380.8946424492,0.012824601131105881,101338.82025996725,1.4102373725421886,0.02745683713411844
22030.535807291668,148.42687023343066,-1.3541761789524844,"(-2.8284625370402258e-05, -0.008813667079729118)",0.04115564554366826,(-0.13009246744462202+0.05785561534363416j),708539.1887044794,-0.005769502877652706,-92139.4844250525,1.6846334915049248,0.0008064293309308666
20491.46875,143.1484151152223,-1.0396564617008703,"(0.00748927639720814, -0.02075367656080197)",0.055520386348387296,(-0.1448091801303304+0.06440053285493873j),562862.8795057579,-0.03404263190783602,-76946.86099311594,1.767550888742756,0.000159775923919642
16409.345052083332,128.09896585095186,-0.07483805445718526,"(0.0023354004034360346, 0.008873878063636936)",0.10623787950441461,(0.11293653153986537+0j),298280.3600219273,-0.0016980391736988027,42569.640230491124,1.3586418757354926,0.02533649456190817
23180.065104166668,152.25000855227125,-1.5750720948877073,"(-0.012177927757654049, 0.02868249447177758)",0.09521595472988399,(-0.012169070810448851+0.10595154624319125j),368341.5722014376,0.030259044960346055,-51694.55867708014,1.7688325939708285,0.0005978303348695622
6373.6171875,79.83493713594318,4.03221466606803,"(0.00848224138104503, 0.009501660109228767)",0.629027470082041,(0.15870416112852387+0.1988622105453292j),52643.557210517,0.020882421705548094,7597.259782638732,0.7763513268127237,0.03312056566938943
